elapsed_s,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|sweep-standard,inference_extension_flow_control_queue_bytes|warmup-standard,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|sweep-standard,inference_extension_flow_control_queue_size|warmup-standard,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,0.0,0.0
1.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,2.0,0.0
2.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,2.0,0.0
3.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,11.0,0.0
4.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,9.0,0.0
5.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
6.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,12.0,0.0
7.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
8.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,12.0,0.0
9.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
10.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
11.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,14.0,0.0
12.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,14.0,0.0
13.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
14.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
15.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
16.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
17.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
18.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
19.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,17.0,0.0
20.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
21.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
22.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
23.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
24.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
25.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
26.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
27.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
28.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
29.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
30.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
31.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
32.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,14.0,0.0
34.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
35.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,16.0,0.0
36.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,12.0,0.0
37.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,12.0,0.0
38.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,12.0,0.0
39.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,12.0,0.0
40.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,14.0,0.0
41.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,14.0,0.0
42.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,15.0,0.0
43.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,14.0,0.0
44.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
45.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,9.0,0.0
46.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,10.0,0.0
47.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,9.0,0.0
48.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
49.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
50.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,10.0,0.0
51.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
52.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,13.0,0.0
53.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,12.0,0.0
54.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,8.0,0.0
55.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,11.0,0.0
56.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,11.0,0.0
57.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,11.0,0.0
58.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,10.0,0.0
59.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,11.0,0.0
60.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,11.0,0.0
61.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,10.0,0.0
62.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,10.0,0.0
63.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,9.0,0.0
64.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,9.0,0.0
65.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,2.0,0.0
