scenario,scenario_label,repeat,run_id,source_dir,total,http_200,non_200_or_artifact,vllm_success_length,vllm_success_error,vllm_waiting_max,vllm_waiting_p95,vllm_running_max
pressure_test1_single_endpoint_then_double,"Test 1. One endpoint, doubled load",1,01-pressure_test1_single_endpoint_then_double-r01,clean-pass-20260721T1710Z/01-pressure_test1_single_endpoint_then_double-r01,22076,22076,0,22076.0,0.0,43.0,25.0,128.0
pressure_test1_single_endpoint_then_double,"Test 1. One endpoint, doubled load",2,02-pressure_test1_single_endpoint_then_double-r02,clean-pass-20260721T1710Z/02-pressure_test1_single_endpoint_then_double-r02,22514,22514,0,22514.0,0.0,29.0,25.0,128.0
pressure_test1_single_endpoint_then_double,"Test 1. One endpoint, doubled load",3,03-pressure_test1_single_endpoint_then_double-r03,clean-pass-20260721T1710Z/03-pressure_test1_single_endpoint_then_double-r03,22561,22561,0,22561.0,0.0,32.0,24.0,128.0
pressure_test2_priority_differentiation,Test 2. Priority differentiation,1,04-pressure_test2_priority_differentiation-r01,clean-pass-20260721T1710Z/04-pressure_test2_priority_differentiation-r01,17969,17969,0,17969.0,0.0,32.0,25.0,128.0
pressure_test2_priority_differentiation,Test 2. Priority differentiation,2,05-pressure_test2_priority_differentiation-r02,clean-pass-20260721T1710Z/05-pressure_test2_priority_differentiation-r02,17987,17987,0,17987.0,0.0,31.0,23.0,128.0
pressure_test2_priority_differentiation,Test 2. Priority differentiation,3,06-pressure_test2_priority_differentiation-r03,clean-pass-20260721T1710Z/06-pressure_test2_priority_differentiation-r03,17983,17983,0,17983.0,0.0,31.0,24.0,128.0
pressure_test3_fairness_three_premium_one_spike,Test 3. Same priority fairness,1,07-pressure_test3_fairness_three_premium_one_spike-r01,clean-pass-20260721T1710Z/07-pressure_test3_fairness_three_premium_one_spike-r01,19861,19861,0,19861.0,0.0,32.0,27.0,128.0
pressure_test3_fairness_three_premium_one_spike,Test 3. Same priority fairness,2,08-pressure_test3_fairness_three_premium_one_spike-r02,clean-pass-20260721T1710Z/08-pressure_test3_fairness_three_premium_one_spike-r02,19846,19846,0,19846.0,0.0,32.0,26.0,128.0
pressure_test3_fairness_three_premium_one_spike,Test 3. Same priority fairness,3,09-pressure_test3_fairness_three_premium_one_spike-r03,clean-pass-20260721T1710Z/09-pressure_test3_fairness_three_premium_one_spike-r03,19852,19852,0,19852.0,0.0,32.0,23.0,128.0
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,1,10-pressure_test4_priority_inversion_batch_surge-r01,clean-pass-20260721T1710Z/10-pressure_test4_priority_inversion_batch_surge-r01,17959,17959,0,17959.0,0.0,64.0,41.0,128.0
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,2,11-pressure_test4_priority_inversion_batch_surge-r02,clean-pass-20260721T1710Z/11-pressure_test4_priority_inversion_batch_surge-r02,17967,17965,2,17965.0,0.0,60.0,37.0,128.0
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,3,01-pressure_test4_priority_inversion_batch_surge,clean-pass-20260721T-test4-r03-retry/01-pressure_test4_priority_inversion_batch_surge,18028,18028,0,18028.0,0.0,57.0,43.0,128.0
