elapsed_s,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
0.0,02-test2_priority_noisy-r02,test2_priority_noisy,0.0,0.0
1.049,02-test2_priority_noisy-r02,test2_priority_noisy,40.0,0.0
2.074,02-test2_priority_noisy-r02,test2_priority_noisy,38.0,0.0
3.104,02-test2_priority_noisy-r02,test2_priority_noisy,37.0,0.0
4.126,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
5.152,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
6.177,02-test2_priority_noisy-r02,test2_priority_noisy,36.0,0.0
7.203,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
8.225,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
9.249,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
10.274,02-test2_priority_noisy-r02,test2_priority_noisy,30.0,0.0
11.3,02-test2_priority_noisy-r02,test2_priority_noisy,30.0,0.0
12.325,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
13.351,02-test2_priority_noisy-r02,test2_priority_noisy,29.0,0.0
14.376,02-test2_priority_noisy-r02,test2_priority_noisy,30.0,0.0
15.401,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
16.425,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
17.449,02-test2_priority_noisy-r02,test2_priority_noisy,30.0,0.0
18.472,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
19.496,02-test2_priority_noisy-r02,test2_priority_noisy,31.0,0.0
20.52,02-test2_priority_noisy-r02,test2_priority_noisy,28.0,0.0
21.545,02-test2_priority_noisy-r02,test2_priority_noisy,30.0,0.0
22.574,02-test2_priority_noisy-r02,test2_priority_noisy,32.0,0.0
23.598,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
24.622,02-test2_priority_noisy-r02,test2_priority_noisy,33.0,0.0
25.648,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
26.67,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
27.695,02-test2_priority_noisy-r02,test2_priority_noisy,32.0,0.0
28.725,02-test2_priority_noisy-r02,test2_priority_noisy,34.0,0.0
29.749,02-test2_priority_noisy-r02,test2_priority_noisy,35.0,0.0
