elapsed_s,tenant,target_concurrency,actual_inflight
1.012,warmup-standard,16,16
2.024,warmup-standard,16,14
3.036,warmup-standard,16,16
4.05,warmup-standard,16,16
5.059,warmup-standard,16,16
6.069,warmup-standard,16,16
7.084,warmup-standard,16,16
8.096,warmup-standard,16,16
9.106,warmup-standard,16,14
10.118,warmup-standard,16,14
11.128,warmup-standard,16,14
12.139,warmup-standard,16,14
13.148,warmup-standard,16,14
14.165,warmup-standard,16,14
15.178,warmup-standard,16,14
16.193,warmup-standard,16,14
17.203,warmup-standard,16,14
18.213,warmup-standard,16,16
19.226,warmup-standard,16,16
20.24,warmup-standard,16,16
21.252,warmup-standard,16,16
22.263,warmup-standard,16,16
23.281,warmup-standard,16,16
24.297,warmup-standard,16,16
25.31,warmup-standard,16,16
26.324,warmup-standard,16,16
27.338,warmup-standard,16,16
28.349,warmup-standard,16,16
29.365,warmup-standard,16,16
