elapsed_s,tenant,target_concurrency,actual_inflight
1.014,warmup-standard,16,0
2.024,warmup-standard,16,16
3.037,warmup-standard,16,16
4.049,warmup-standard,16,16
5.061,warmup-standard,16,16
6.072,warmup-standard,16,16
7.084,warmup-standard,16,16
8.094,warmup-standard,16,16
9.107,warmup-standard,16,16
10.118,warmup-standard,16,16
11.131,warmup-standard,16,16
12.144,warmup-standard,16,16
13.158,warmup-standard,16,16
14.169,warmup-standard,16,16
15.184,warmup-standard,16,16
16.195,warmup-standard,16,16
17.207,warmup-standard,16,16
18.22,warmup-standard,16,16
19.234,warmup-standard,16,16
20.248,warmup-standard,16,16
21.262,warmup-standard,16,0
22.27,warmup-standard,16,16
23.284,warmup-standard,16,16
24.296,warmup-standard,16,16
25.305,warmup-standard,16,16
26.315,warmup-standard,16,16
27.329,warmup-standard,16,16
28.339,warmup-standard,16,16
29.35,warmup-standard,16,16
