elapsed_s,inference_extension_flow_control_pool_saturation,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|premium-tenant-c,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|warmup-standard,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|premium-tenant-c,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|warmup-standard,inference_pool_average_queue_size,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,0.0,0.0
1.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,0.0,0.0
2.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,0.0,0.0
3.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,0.0,0.0
4.153,0.008158599261329225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
5.181,0.005471635432747757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
6.211,0.005601912466860759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
7.245,0.005601912466860759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
8.274,0.0056181970961248495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
9.302,0.005732189500973761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
10.33,0.005740331815605876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
11.358,0.005862466535086902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
12.392,0.005870608849718878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
13.421,0.006000885883832019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
14.45,0.006000885883832019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
15.477,0.006131162917945021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
16.506,0.006261439952058023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
17.54,0.005740331815605876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
18.568,0.006204443749633637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
19.602,0.006204443749633637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
20.638,0.006212586064265613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
21.669,0.0062207283788977275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
22.697,0.0062207283788977275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
23.727,0.00635100541301073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,16.0,0.0
24.755,0.005561200893700463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,14.0,0.0
25.795,0.006359147727642844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,1.0,0.0
26.826,0.00038268878770703063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,1.0,0.0
27.86,0.00038268878770703063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,1.0,0.0
28.888,0.0003908311023391453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,2.0,0.0
29.913,0.0029963717845998827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-warmup_standard,warmup_standard,6.0,0.0
