elapsed_s,tenant,target_concurrency,actual_inflight
1.013,warmup-standard,16,16
2.022,warmup-standard,16,16
3.039,warmup-standard,16,16
4.051,warmup-standard,16,16
5.064,warmup-standard,16,16
6.074,warmup-standard,16,16
7.084,warmup-standard,16,16
8.092,warmup-standard,16,16
9.102,warmup-standard,16,16
10.113,warmup-standard,16,13
11.125,warmup-standard,16,16
12.137,warmup-standard,16,16
13.149,warmup-standard,16,16
14.162,warmup-standard,16,16
15.173,warmup-standard,16,16
16.181,warmup-standard,16,16
17.191,warmup-standard,16,16
18.202,warmup-standard,16,16
19.212,warmup-standard,16,16
20.226,warmup-standard,16,16
21.239,warmup-standard,16,16
22.249,warmup-standard,16,16
23.258,warmup-standard,16,16
24.273,warmup-standard,16,16
25.288,warmup-standard,16,16
26.307,warmup-standard,16,16
27.318,warmup-standard,16,15
28.329,warmup-standard,16,16
29.344,warmup-standard,16,16
