run_id,repeat,scenario,tenant,priority,objective,duration_s,trim_s,total,n_steady_ttft,low_n_use_p90,http_200,http_429,http_503,timeouts,errors,throughput_rps,ttft_p50_s,ttft_p90_s,ttft_p95_s,ttft_p99_s,latency_p50_s,latency_p90_s,latency_p95_s,latency_p99_s
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-a,100,gpt-oss-upstream-cc-premium,120,20.0,455,336,True,455,0,0,0,0,3.7916666666666665,0.14904228691011667,0.4372382469009608,0.740025526843965,1.2510004539508373,1.5209163529798388,2.6490419539622962,2.953028090065345,3.272945580072701
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-b,100,gpt-oss-upstream-cc-premium,120,20.0,375,288,True,372,3,0,0,0,3.125,0.1348502861801535,0.46118944115005434,0.7098134609404951,1.271303636021912,1.5589701989665627,2.7936113888863474,2.9781776580493897,3.293071480933577
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-c,100,gpt-oss-upstream-cc-premium,120,20.0,371,297,True,367,4,0,0,0,3.091666666666667,0.15126354596577585,0.5805770941078663,0.9346065099816769,1.3019770099781454,1.5261706719174981,2.7798564159311354,3.0524777099490166,3.5368073161225766
01-test2_priority_noisy-r01,1,test2_priority_noisy,standard-tenant-a,0,gpt-oss-upstream-cc-standard,120,20.0,1536,1380,False,1518,18,0,0,0,12.8,2.1547849879134446,3.0607487170491368,3.5117602138780057,4.124758864054456,4.016951071098447,5.070242374902591,5.661057749064639,6.13358952710405
01-test2_priority_noisy-r01,1,test2_priority_noisy,standard-tenant-b,0,gpt-oss-upstream-cc-standard,120,20.0,1444,1313,False,1424,20,0,0,0,12.033333333333333,2.3497497849166393,3.3629075831267983,3.8439397590700537,4.4542741370387375,4.201691064983606,5.227615506853908,5.881046755006537,6.680133600952104
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-a,100,gpt-oss-upstream-cc-premium,120,20.0,461,339,True,460,1,0,0,0,3.841666666666667,0.14533909689635038,0.5179431401193142,0.690610800171271,0.9521878461819142,1.5692396429367363,2.588827071012929,2.7094898829236627,2.95871508307755
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-b,100,gpt-oss-upstream-cc-premium,120,20.0,375,290,True,375,0,0,0,0,3.125,0.14991833409294486,0.5431609579827636,0.7491735299117863,1.2338784178718925,1.9165891078300774,2.599538235925138,2.8006169199943542,3.3780403879936785
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-c,100,gpt-oss-upstream-cc-premium,120,20.0,373,302,True,372,1,0,0,0,3.1083333333333334,0.1422485108487308,0.5718516779597849,0.7768421331420541,1.0156432250514627,1.5033174578566104,2.578932792181149,2.8172868289984763,3.2135160721372813
02-test2_priority_noisy-r02,2,test2_priority_noisy,standard-tenant-a,0,gpt-oss-upstream-cc-standard,120,20.0,1576,1415,False,1556,20,0,0,0,13.133333333333333,2.130979890935123,2.993210625834763,3.5038681209553033,4.360052707837895,3.972993897041306,4.9553027239162475,5.4483698948752135,6.3278152050916106
02-test2_priority_noisy-r02,2,test2_priority_noisy,standard-tenant-b,0,gpt-oss-upstream-cc-standard,120,20.0,1486,1360,False,1470,16,0,0,0,12.383333333333333,2.2767353858798742,3.4502815559972078,4.086106299888343,5.09038723888807,4.028655878966674,5.330247438047081,5.917783072916791,7.132133889943361
