elapsed_s,tenant,target_concurrency,actual_inflight
1.011,premium-tenant-a,6,8
1.012,premium-tenant-b,6,7
1.012,premium-tenant-c,4,5
1.012,standard-tenant-a,10,11
1.012,standard-tenant-b,7,9
2.023,premium-tenant-a,6,7
2.023,premium-tenant-b,6,8
2.023,premium-tenant-c,3,4
2.023,standard-tenant-a,11,11
2.023,standard-tenant-b,8,8
3.037,premium-tenant-a,7,7
3.038,premium-tenant-b,7,7
3.038,premium-tenant-c,4,4
3.038,standard-tenant-a,11,11
3.038,standard-tenant-b,6,8
4.048,premium-tenant-a,7,6
4.049,premium-tenant-b,7,7
4.049,premium-tenant-c,3,3
4.049,standard-tenant-a,11,11
4.049,standard-tenant-b,6,7
5.059,premium-tenant-a,7,8
5.059,premium-tenant-b,7,7
5.059,premium-tenant-c,3,3
5.059,standard-tenant-a,11,12
5.059,standard-tenant-b,6,6
6.072,premium-tenant-a,7,7
6.072,premium-tenant-b,6,7
6.072,premium-tenant-c,3,4
6.072,standard-tenant-a,11,12
6.072,standard-tenant-b,5,6
7.08,premium-tenant-a,8,8
7.08,premium-tenant-b,6,5
7.081,premium-tenant-c,3,3
7.081,standard-tenant-a,11,11
7.081,standard-tenant-b,5,5
8.094,premium-tenant-a,8,8
8.094,premium-tenant-b,6,6
8.094,premium-tenant-c,3,3
8.094,standard-tenant-a,10,10
8.094,standard-tenant-b,5,6
9.105,premium-tenant-a,8,8
9.105,premium-tenant-b,5,5
9.105,premium-tenant-c,3,3
9.105,standard-tenant-a,10,9
9.105,standard-tenant-b,7,5
10.115,premium-tenant-a,8,8
10.115,premium-tenant-b,5,5
10.115,premium-tenant-c,3,4
10.116,standard-tenant-a,9,9
10.116,standard-tenant-b,5,5
11.125,premium-tenant-a,9,9
11.125,premium-tenant-b,5,5
11.125,premium-tenant-c,3,3
11.126,standard-tenant-a,8,9
11.126,standard-tenant-b,5,6
12.133,premium-tenant-a,7,8
12.133,premium-tenant-b,5,5
12.133,premium-tenant-c,3,4
12.135,standard-tenant-a,8,8
12.135,standard-tenant-b,6,5
13.143,premium-tenant-a,8,8
13.143,premium-tenant-b,5,4
13.143,premium-tenant-c,4,4
13.143,standard-tenant-a,7,4
13.143,standard-tenant-b,6,4
14.155,premium-tenant-a,8,8
14.155,premium-tenant-b,4,4
14.155,premium-tenant-c,4,6
14.157,standard-tenant-a,7,6
14.157,standard-tenant-b,6,6
15.164,premium-tenant-a,8,8
15.164,premium-tenant-b,4,5
15.164,premium-tenant-c,5,5
15.167,standard-tenant-a,6,6
15.167,standard-tenant-b,6,7
16.174,premium-tenant-a,8,9
16.174,premium-tenant-b,4,4
16.174,premium-tenant-c,5,5
16.179,standard-tenant-a,6,6
16.179,standard-tenant-b,8,8
17.187,premium-tenant-a,7,8
17.187,premium-tenant-b,3,4
17.187,premium-tenant-c,5,6
17.19,standard-tenant-a,5,6
17.19,standard-tenant-b,8,8
18.199,premium-tenant-a,7,6
18.199,premium-tenant-b,4,4
18.199,premium-tenant-c,5,6
18.199,standard-tenant-a,5,6
18.199,standard-tenant-b,8,9
19.209,premium-tenant-a,7,6
19.21,premium-tenant-b,3,4
19.21,premium-tenant-c,5,6
19.21,standard-tenant-a,4,6
19.21,standard-tenant-b,9,9
20.22,premium-tenant-a,7,4
20.22,premium-tenant-b,3,4
20.22,premium-tenant-c,6,6
20.22,standard-tenant-a,5,5
20.22,standard-tenant-b,10,9
21.23,premium-tenant-a,7,6
21.23,premium-tenant-b,4,4
21.23,premium-tenant-c,6,7
21.23,standard-tenant-a,5,5
21.23,standard-tenant-b,9,10
22.242,premium-tenant-a,6,7
22.242,premium-tenant-b,4,3
22.242,premium-tenant-c,7,7
22.242,standard-tenant-a,5,6
22.242,standard-tenant-b,11,11
23.253,premium-tenant-a,6,6
23.253,premium-tenant-b,3,3
23.253,premium-tenant-c,7,7
23.253,standard-tenant-a,6,6
23.253,standard-tenant-b,11,11
24.264,premium-tenant-a,6,6
24.264,premium-tenant-b,3,4
24.264,premium-tenant-c,8,7
24.265,standard-tenant-a,6,7
24.265,standard-tenant-b,11,10
25.274,premium-tenant-a,6,6
25.274,premium-tenant-b,3,1
25.274,premium-tenant-c,7,4
25.275,standard-tenant-a,7,6
25.275,standard-tenant-b,11,11
26.289,premium-tenant-a,6,6
26.289,premium-tenant-b,3,3
26.289,premium-tenant-c,7,6
26.289,standard-tenant-a,8,9
26.289,standard-tenant-b,12,11
27.3,premium-tenant-a,5,6
27.3,premium-tenant-b,3,4
27.301,premium-tenant-c,7,7
27.301,standard-tenant-a,8,6
27.301,standard-tenant-b,11,11
28.314,premium-tenant-a,5,5
28.314,premium-tenant-b,3,3
28.314,premium-tenant-c,7,7
28.314,standard-tenant-a,9,9
28.314,standard-tenant-b,10,10
29.326,premium-tenant-a,4,5
29.326,premium-tenant-b,4,4
29.326,premium-tenant-c,7,8
29.326,standard-tenant-a,9,10
29.326,standard-tenant-b,10,10
30.338,premium-tenant-a,5,5
30.338,premium-tenant-b,3,4
30.338,premium-tenant-c,7,7
30.338,standard-tenant-a,10,9
30.338,standard-tenant-b,10,10
31.35,premium-tenant-a,4,5
31.35,premium-tenant-b,3,4
31.35,premium-tenant-c,6,7
31.35,standard-tenant-a,11,8
31.35,standard-tenant-b,10,10
32.359,premium-tenant-a,4,4
32.359,premium-tenant-b,4,4
32.359,premium-tenant-c,6,5
32.359,standard-tenant-a,11,10
32.361,standard-tenant-b,10,9
33.371,premium-tenant-a,4,4
33.371,premium-tenant-b,4,4
33.371,premium-tenant-c,6,6
33.371,standard-tenant-a,11,12
33.373,standard-tenant-b,9,9
