elapsed_s,tenant,target_concurrency,actual_inflight
1.012,premium-tenant-a,26,27
1.013,premium-tenant-b,27,29
1.013,premium-tenant-c,20,25
2.026,premium-tenant-a,26,25
2.026,premium-tenant-b,26,30
2.026,premium-tenant-c,19,21
3.038,premium-tenant-a,26,25
3.038,premium-tenant-b,27,25
3.038,premium-tenant-c,20,15
4.05,premium-tenant-a,26,24
4.05,premium-tenant-b,27,22
4.05,premium-tenant-c,20,19
5.059,premium-tenant-a,27,28
5.06,premium-tenant-b,26,27
5.062,premium-tenant-c,20,23
6.071,premium-tenant-a,27,26
6.074,premium-tenant-b,23,27
6.076,premium-tenant-c,19,20
7.083,premium-tenant-a,30,28
7.085,premium-tenant-b,24,25
7.093,premium-tenant-c,21,20
8.099,premium-tenant-a,27,30
8.099,premium-tenant-b,24,20
8.105,premium-tenant-c,24,21
9.109,premium-tenant-a,27,28
9.111,premium-tenant-b,25,26
9.117,premium-tenant-c,21,22
10.12,premium-tenant-a,28,26
10.122,premium-tenant-b,23,25
10.128,premium-tenant-c,22,22
11.132,premium-tenant-a,29,25
11.132,premium-tenant-b,25,21
11.143,premium-tenant-c,19,16
12.145,premium-tenant-a,28,34
12.145,premium-tenant-b,22,20
12.158,premium-tenant-c,24,21
13.157,premium-tenant-a,29,26
13.158,premium-tenant-b,21,25
13.167,premium-tenant-c,23,22
14.171,premium-tenant-a,28,29
14.171,premium-tenant-b,19,23
14.183,premium-tenant-c,23,22
15.184,premium-tenant-a,28,24
15.184,premium-tenant-b,21,18
15.192,premium-tenant-c,22,21
16.198,premium-tenant-a,29,29
16.199,premium-tenant-b,18,23
16.203,premium-tenant-c,24,22
17.21,premium-tenant-a,27,25
17.21,premium-tenant-b,21,23
17.216,premium-tenant-c,22,23
18.228,premium-tenant-a,25,25
18.228,premium-tenant-b,19,16
18.23,premium-tenant-c,21,25
19.238,premium-tenant-a,24,27
19.238,premium-tenant-b,19,27
19.241,premium-tenant-c,26,26
20.249,premium-tenant-a,25,27
20.249,premium-tenant-b,23,21
20.25,premium-tenant-c,24,26
21.262,premium-tenant-a,26,27
21.262,premium-tenant-b,19,21
21.263,premium-tenant-c,25,24
22.276,premium-tenant-a,25,21
22.276,premium-tenant-b,20,24
22.277,premium-tenant-c,28,26
23.289,premium-tenant-a,22,27
23.289,premium-tenant-b,19,22
23.289,premium-tenant-c,27,23
24.299,premium-tenant-a,22,25
24.299,premium-tenant-b,21,19
24.299,premium-tenant-c,28,24
25.31,premium-tenant-a,23,23
25.31,premium-tenant-b,21,21
25.31,premium-tenant-c,26,24
26.321,premium-tenant-a,23,21
26.321,premium-tenant-b,20,21
26.321,premium-tenant-c,29,28
27.335,premium-tenant-a,20,25
27.335,premium-tenant-b,22,18
27.335,premium-tenant-c,28,27
28.351,premium-tenant-a,20,20
28.351,premium-tenant-b,22,15
28.351,premium-tenant-c,26,28
29.368,premium-tenant-a,20,22
29.368,premium-tenant-b,19,21
29.368,premium-tenant-c,27,30
30.381,premium-tenant-a,20,21
30.381,premium-tenant-b,23,23
30.381,premium-tenant-c,27,28
31.396,premium-tenant-a,19,23
31.396,premium-tenant-b,22,23
31.396,premium-tenant-c,26,27
32.407,premium-tenant-a,21,21
32.407,premium-tenant-b,25,20
32.408,premium-tenant-c,28,26
33.422,premium-tenant-a,22,21
33.422,premium-tenant-b,21,25
33.422,premium-tenant-c,26,31
34.434,premium-tenant-a,20,20
34.434,premium-tenant-b,22,23
34.434,premium-tenant-c,28,27
35.447,premium-tenant-a,18,23
35.447,premium-tenant-b,23,24
35.447,premium-tenant-c,27,25
36.46,premium-tenant-a,20,22
36.46,premium-tenant-b,25,27
36.46,premium-tenant-c,29,27
37.472,premium-tenant-a,24,22
37.472,premium-tenant-b,25,24
37.474,premium-tenant-c,26,29
38.483,premium-tenant-a,21,22
38.483,premium-tenant-b,25,26
38.486,premium-tenant-c,26,27
39.497,premium-tenant-a,21,22
39.497,premium-tenant-b,25,27
39.497,premium-tenant-c,27,28
40.509,premium-tenant-a,21,21
40.509,premium-tenant-b,26,26
40.51,premium-tenant-c,27,27
41.52,premium-tenant-a,22,18
41.521,premium-tenant-b,24,28
41.521,premium-tenant-c,26,25
42.534,premium-tenant-a,22,22
42.534,premium-tenant-b,27,26
42.534,premium-tenant-c,27,25
43.545,premium-tenant-a,26,23
43.545,premium-tenant-b,27,30
43.545,premium-tenant-c,25,23
44.559,premium-tenant-a,23,23
44.559,premium-tenant-b,27,28
44.56,premium-tenant-c,26,27
45.57,premium-tenant-a,23,25
45.57,premium-tenant-b,27,17
45.574,premium-tenant-c,26,23
46.585,premium-tenant-a,25,26
46.585,premium-tenant-b,29,29
46.585,premium-tenant-c,23,25
47.598,premium-tenant-a,25,27
47.598,premium-tenant-b,26,29
47.598,premium-tenant-c,24,24
48.609,premium-tenant-a,26,26
48.61,premium-tenant-b,30,30
48.616,premium-tenant-c,25,25
49.621,premium-tenant-a,27,27
49.621,premium-tenant-b,28,25
49.63,premium-tenant-c,24,19
50.653,premium-tenant-a,27,27
50.653,premium-tenant-b,27,32
50.653,premium-tenant-c,23,24
51.666,premium-tenant-a,28,27
51.666,premium-tenant-b,29,33
51.666,premium-tenant-c,21,20
52.681,premium-tenant-a,29,26
52.681,premium-tenant-b,29,30
52.681,premium-tenant-c,22,22
53.693,premium-tenant-a,28,30
53.693,premium-tenant-b,31,25
53.694,premium-tenant-c,21,20
54.706,premium-tenant-a,29,25
54.706,premium-tenant-b,31,29
54.706,premium-tenant-c,21,23
55.719,premium-tenant-a,29,30
55.72,premium-tenant-b,27,28
55.72,premium-tenant-c,20,20
56.73,premium-tenant-a,27,29
56.73,premium-tenant-b,28,29
56.73,premium-tenant-c,20,23
57.745,premium-tenant-a,29,30
57.745,premium-tenant-b,25,25
57.745,premium-tenant-c,21,21
58.757,premium-tenant-a,28,23
58.759,premium-tenant-b,26,18
58.759,premium-tenant-c,18,21
59.78,premium-tenant-a,27,29
59.78,premium-tenant-b,22,28
59.78,premium-tenant-c,18,21
60.793,premium-tenant-a,27,33
60.793,premium-tenant-b,24,25
60.793,premium-tenant-c,21,22
61.804,premium-tenant-a,26,32
61.804,premium-tenant-b,24,22
61.804,premium-tenant-c,18,21
62.816,premium-tenant-a,27,27
62.816,premium-tenant-b,24,26
62.816,premium-tenant-c,25,20
63.829,premium-tenant-a,25,28
63.829,premium-tenant-b,24,25
63.829,premium-tenant-c,19,23
64.842,premium-tenant-a,26,28
64.842,premium-tenant-b,23,26
64.842,premium-tenant-c,17,22
65.854,premium-tenant-a,24,27
65.854,premium-tenant-b,24,25
65.854,premium-tenant-c,22,19
66.864,premium-tenant-a,25,21
66.864,premium-tenant-b,22,18
66.864,premium-tenant-c,21,18
67.875,premium-tenant-a,26,25
67.875,premium-tenant-b,23,24
67.875,premium-tenant-c,19,22
68.885,premium-tenant-a,24,25
68.887,premium-tenant-b,23,24
68.887,premium-tenant-c,21,23
69.896,premium-tenant-a,22,25
69.899,premium-tenant-b,25,23
69.899,premium-tenant-c,23,23
70.906,premium-tenant-a,22,19
70.913,premium-tenant-b,22,23
70.913,premium-tenant-c,20,16
71.921,premium-tenant-a,23,23
71.923,premium-tenant-b,19,23
71.925,premium-tenant-c,21,24
72.931,premium-tenant-a,22,22
72.935,premium-tenant-b,22,24
72.937,premium-tenant-c,20,23
73.94,premium-tenant-a,20,22
73.947,premium-tenant-b,20,23
73.952,premium-tenant-c,22,22
74.95,premium-tenant-a,20,20
74.964,premium-tenant-b,21,13
74.964,premium-tenant-c,22,22
75.963,premium-tenant-a,86,79
75.986,premium-tenant-b,48,40
75.986,premium-tenant-c,36,38
76.977,premium-tenant-a,79,81
77.0,premium-tenant-b,43,42
77.0,premium-tenant-c,36,44
77.998,premium-tenant-a,84,90
78.013,premium-tenant-b,42,44
78.014,premium-tenant-c,35,38
79.016,premium-tenant-a,81,78
79.028,premium-tenant-b,43,45
79.028,premium-tenant-c,34,45
80.031,premium-tenant-a,81,86
80.041,premium-tenant-b,45,40
80.041,premium-tenant-c,33,36
81.044,premium-tenant-a,86,70
81.054,premium-tenant-b,39,49
81.054,premium-tenant-c,36,40
82.057,premium-tenant-a,91,90
82.065,premium-tenant-b,39,40
82.065,premium-tenant-c,36,28
83.068,premium-tenant-a,81,91
83.076,premium-tenant-b,39,41
83.076,premium-tenant-c,42,38
84.079,premium-tenant-a,88,94
84.092,premium-tenant-b,44,41
84.092,premium-tenant-c,40,36
85.093,premium-tenant-a,87,91
85.104,premium-tenant-b,38,42
85.104,premium-tenant-c,37,34
86.107,premium-tenant-a,92,91
86.118,premium-tenant-b,39,40
86.118,premium-tenant-c,37,36
87.121,premium-tenant-a,90,85
87.131,premium-tenant-b,38,40
87.131,premium-tenant-c,40,34
88.131,premium-tenant-a,82,87
88.144,premium-tenant-b,36,42
88.144,premium-tenant-c,36,40
89.149,premium-tenant-a,87,93
89.155,premium-tenant-b,37,41
89.156,premium-tenant-c,39,40
90.159,premium-tenant-a,94,89
90.172,premium-tenant-b,35,36
90.172,premium-tenant-c,38,38
91.172,premium-tenant-a,92,90
91.186,premium-tenant-b,38,38
91.186,premium-tenant-c,38,43
92.184,premium-tenant-a,85,88
92.199,premium-tenant-b,37,36
92.199,premium-tenant-c,41,39
93.198,premium-tenant-a,85,84
93.214,premium-tenant-b,33,42
93.214,premium-tenant-c,41,43
94.213,premium-tenant-a,81,92
94.227,premium-tenant-b,33,33
94.227,premium-tenant-c,43,34
95.231,premium-tenant-a,80,78
95.24,premium-tenant-b,39,32
95.24,premium-tenant-c,41,37
96.245,premium-tenant-a,80,85
96.254,premium-tenant-b,37,34
96.254,premium-tenant-c,38,36
97.258,premium-tenant-a,91,84
97.269,premium-tenant-b,35,35
97.269,premium-tenant-c,47,45
98.274,premium-tenant-a,81,84
98.291,premium-tenant-b,37,36
98.291,premium-tenant-c,40,40
99.288,premium-tenant-a,78,78
99.307,premium-tenant-b,38,31
99.307,premium-tenant-c,45,42
100.3,premium-tenant-a,72,83
100.321,premium-tenant-b,35,34
100.321,premium-tenant-c,42,42
101.312,premium-tenant-a,83,78
101.338,premium-tenant-b,37,37
101.338,premium-tenant-c,41,41
102.323,premium-tenant-a,74,84
102.353,premium-tenant-b,37,41
102.353,premium-tenant-c,44,41
103.336,premium-tenant-a,77,73
103.365,premium-tenant-b,38,38
103.366,premium-tenant-c,42,43
104.348,premium-tenant-a,78,73
104.383,premium-tenant-b,40,39
104.383,premium-tenant-c,44,44
105.36,premium-tenant-a,66,70
105.397,premium-tenant-b,34,40
105.397,premium-tenant-c,45,45
106.375,premium-tenant-a,67,79
106.411,premium-tenant-b,38,41
106.411,premium-tenant-c,43,49
107.395,premium-tenant-a,73,75
107.423,premium-tenant-b,40,38
107.423,premium-tenant-c,41,45
108.405,premium-tenant-a,77,78
108.436,premium-tenant-b,41,41
108.436,premium-tenant-c,43,42
109.419,premium-tenant-a,71,70
109.45,premium-tenant-b,39,39
